"id","username","full_name","date","caption","like_count","reply_count","repost_count","quote_count","hashtags","mentions","tag_name","url"
"3750787414848937438","susanasrihandayani","SUSANA HANDAYANI","2025-10-25 06:32:04","Emak emak malas mikir bisa pakai prompt gemini buat screening saham  di bawah ini","344","25","108","5","","","saham","https://threads.net/@susanasrihandayani/post/DQNeUgCE53e"
"3872238958512421501","nasrulfatah_id","Nasrul Fatah","2026-04-10 20:14:36","ARA Strike kembali lagi!  Hari ini Alhamdulillah dpt ARA & nyaris ARA total 7 emiten.  $CITY $FITR $BNBR $PADA $PIPA $WBSA (IPO) $TPIA  Ada beberapa jg yg gain belasan persen.  Kalau ARAnya kuat masih saya hold. Kalau udah lemah atau mulai stagnan saya jual sebagian, lalu hunting emiten lain lagi.  #ARAhunter #ARAlogy #1day1ARA  Lanjut 👇🏻","24","11","0","0","ARAhunter, ARAlogy, 1day1ARA","","saham","https://threads.net/@nasrulfatah_id/post/DW89NEXj7p9"
"3872249647804306806","b5rds","Bima Rusdiansyah","2026-04-10 20:35:51","Medeteksi saham yang akan ara bagaimana caranya gan ?","1","1","0","0","","","","https://threads.net/@b5rds/post/DW8_onjAdV2"
"3877823449709214129","messagus9","MessAgus🌿","2026-04-18 13:10:00","Beberapa saham yang ada di salah satu portofolio Andry Hakim. Adakah yg sama dengan kalian?","0","0","0","0","","","saham","https://threads.net/@messagus9/post/DXQy-HFmPmx"
"3689905403472914951","leomanuntun10","Leonardus Manuntun","2025-08-02 06:30:23","Genap 1 tahun sdh di @stockbit mungkin sy jg jd salah satu dr skian byk org yg msuk kategori paling hoki dsni. Perjalan awal dngn uang 50jt persis 1 agustus tahun lalu. Dbw naik turun kayak roller coster dilema mau TP atau hold. Dan akhirnya plihan sy tetap hold smpe skrng. Itu perjalanan invest saham saya selama setahun ini. Perjalan mu sperti apa di dunia saham ini?","2015","565","128","3","","stockbit","","https://threads.net/@leomanuntun10/post/DM1LWoczCoH"
"3811064279588223583","rofifsyfrdn","Rofif","2026-01-16 10:31:26","rumus screner saham yang biasa saya gunakan untuk scalping.  1. 1 Day Price Returns (%) > -15 2. Volume > 1000 * Frequency 3. Frequency > 5 * Frequency Analyzer 4. 1 Day Volume Change > 1 * Frequency Analyzer 5. Volume > 1 * Volume MA 100 6. Volume > 1 * Previous Volume  semoga bermanfaat..","311","18","68","0","","","","https://threads.net/@rofifsyfrdn/post/DTjnsU5CTpf"
"3868644418745121393","trashychats","Vals","2026-04-05 21:12:54","Buat sobat cuan, ada yang bisa kasih pencerahan ini harus diapain gak? Sebenernya di awal gak sebanyak ini, tapi gara2 waktu itu gw average down ternyata malah makin turun😭","150","155","2","2","","","saham","https://threads.net/@trashychats/post/DWwL5oVmbpx"
"3719964429477086669","luthfiyabcde","Luthfiya ✨ 🍉","2025-09-12 17:52:18","Guys, tanya serius gimana cara kalian kok bisa tau saham itu akan bagger? 🥹","457","91","62","0","","","saham","https://threads.net/@luthfiyabcde/post/DOf9_B8EgXN"
"3876715804075677831","marlin.febri","","2026-04-17 00:29:18","Nemu 3 emiten ini teknikal nya sih oke ya, hari ini jg masuk volume semua. tinggal pantau besok bisa jebol resist gak? atau masuk dulu ya?  hahaha si pemula ini selalu ragu dan susah ambil keputusan","22","13","0","0","","","saham","https://threads.net/@marlin.febri/post/DXM3HvtEtiH"
"3731523310594501892","tysgraha","Graha","2025-09-28 16:37:44","Nah, gara2 file ini jadi tahu konglo mana yang sedang goreng saham. Total ada 20 grup konglomerasi","525","26","54","0","","","","https://threads.net/@tysgraha/post/DPJCK43Ey0E"
